,adi,vpd_5_lag6,vpd_5_lag12,stoch_k_14_lag12,obv,stoch_d_21,cci_14,volume_z_24_lag1,stoch_k_14_lag3,roc_14_lag1,volume_z_12_lag6,rsi_vol,macd_vol_lag6,vpd_20_lag6,adx_vol,roc_10_lag2,volume_z_24,roc_10,roc_20,volume_roc_48_lag12,volume_roc_12_lag2,volume_lag3,stoch_k_14,rsi_vol_lag12,adx_vol_lag12,stoch_d_21_lag6,volume_z_48_lag6,stoch_d_7_lag12,stoch_k_7,cci_28_lag6,vpd_20_lag12,rsi_14_std_6,rsi_14_lag3,roc_14_lag12,macd_12_26_std_24,mfi_14_lag3,cci_14_lag6,rsi_14_ma_12,di_plus_14_lag3,volume_std_24
PC11,-0.019517004419926008,-0.14546386685854845,-0.16887299857392818,-0.24278498314312755,-0.004471407214673451,-0.15942983167181385,-0.08934232188763823,-0.009499069813610348,-0.11964549261289295,0.1406540982387645,0.022337890103250664,0.12755437891919857,0.4607306648980599,-0.10564287976475019,-0.10986754562925174,0.23860517271217918,-0.020443411227359976,0.14569947475712106,0.17586869938898014,-0.20028118487711796,0.04054380122044049,0.009264044476929327,-0.11158688527784023,0.18567142140418744,-0.02657470467225349,-0.10716104695250124,-0.014019325662878198,-0.38762582172397925,-0.08216972752720125,-0.09107000232490142,-0.1432713857512872,0.022439983249036028,0.05704967637262937,0.2797870313034897,0.017789089473155828,-0.20120626680809245,-0.1787188060981623,0.06630916061243174,0.12375836982770014,-0.011551261051910688
PC12,-0.037067753135010865,-0.031028462740214986,0.004694198817420579,-0.03316769255002851,-0.055299431733380006,-0.034162592151791925,-0.006237048248779532,0.02714851298531517,-0.026077693998160994,0.01383397494090601,-0.04267169312081893,-0.048614517072341636,0.13797466141109435,-0.019363540796517278,-0.025633377837371966,0.03543590860208237,0.032464956027564836,0.016494840597120603,0.034418707763806594,0.951069897692713,-0.044381327944719676,-0.04490282615266674,-0.019628628192880065,-0.06449299649178397,-0.06566259953765316,-0.0484168057858279,0.050452083713448496,-0.06610072046765202,0.005160505991570185,-0.04932634240069632,-0.011739545283894726,0.037402263887202414,0.04157189345810354,0.08770319675397344,-0.06421805362226127,-0.039083746719961295,-0.09176904437459893,0.04382579094292914,0.08122596118961241,0.002440594537258583
PC13,-0.03265364559138983,-0.006686821852067614,0.008369247133385741,-0.0058544080698390115,-0.002223853524068141,-0.005536143918195362,0.013910308305823084,-0.13303765682335245,-0.024919478836984064,-0.02874790015150663,-0.07556864511753804,-0.0036281367889449924,-0.007378812454367284,-0.008513057290894395,0.006364411323608017,-0.031304380721363066,-0.3433877903109709,-0.008447699172172696,-0.018392149869773826,0.06406506410111955,0.911460475444743,-0.016402847207605018,0.018517783534015567,-0.01203581936646861,-0.01621265769765232,0.019700425353508078,-0.09112153853022786,-0.005898972061359311,0.018451591193087577,0.031087758761974654,0.004213675776899044,-0.02854806834194283,-0.011003534721676506,-0.011971317070558594,0.0002972927304174715,0.006198642276278867,0.03563326024603513,-0.0006407201440077649,0.029450042921676682,-0.07087275467561419
PC14,0.020577178814358072,-0.004046274249025612,-0.024255141427467045,0.15020332253435986,-0.0038812211197535493,-0.046070813074809765,-0.22270301970009043,-0.03470907486136084,0.12684053414539015,0.334915090257136,-0.010192092269735366,0.03627764596124736,-0.20211602161609304,0.0256974923992468,-0.03281806200527432,0.28735055317498703,-0.010474328808203419,0.218747075160807,0.21956320830371248,-0.009060779214378024,0.062200746130521886,-0.012862052637922925,-0.2527800437564723,-0.0747961643384985,-0.000588471891465222,-0.25426241888042,-0.003952866810449131,0.38283262091315495,-0.18947493697770018,-0.3152357446461035,0.02248701118417599,0.02344193627973694,0.013460707514513982,-0.1280387263050522,-0.04355459066126533,0.13970143459568746,-0.3112788567257538,-0.12774740282549998,-0.007725348637591865,0.0064928530762741795
PC15,-0.02662455763217755,0.12507668372599992,-0.02921197364369897,-0.06823855430708535,-0.007660297342226773,0.09310952258612519,-0.0035833772905192528,0.006240302651490554,0.45929309778874355,-0.22616532107882228,-0.04808630605016037,-0.05747938793103531,0.03089308771869154,0.06031010276443403,0.06909392179574839,-0.1448298424347705,0.046767707264461125,-0.2672931256670317,-0.23326125795389643,-0.07340626095687387,0.02852299311036678,-0.03761096587316683,0.011857686433182116,0.048160698306644524,-0.018494356730728988,-0.23037533344353298,0.00017807976254861934,-0.10032390253550974,-0.021147501457420913,-0.241928974596397,-0.006358282638864066,-0.11570815902822121,0.3710960849919601,0.0837454397608602,0.022513152823707416,0.18487471820042517,-0.3117773893811517,0.12113257694457498,0.3255752499881661,0.0021272711872671966
PC16,-0.0439036788763848,0.012226379119836548,0.012699447571868965,0.019413932452525408,0.0026460319750774377,-0.0394890902092294,-0.004969001812705899,-0.055066796734730174,-0.029894107625286055,-0.04316546176829618,-0.07725464763635462,0.045774899989884335,-0.04778898984349122,0.007651584462106583,0.07854431674605032,-0.0470942195775144,-0.5859165468733749,-0.004898063020207759,-0.02631758491090188,-0.045509559224125,-0.2247236631526802,0.005998565562022053,-0.006422382798023916,-0.1062218143382445,-0.07913466989100762,-0.02635053443861813,0.06882020703584957,-0.009821488451066885,0.04600497602286851,-0.011469619537302429,-0.00013263421478256222,0.70697078395014,0.05647692069532557,0.0029755662913180073,0.043039205990447034,0.017669989250681962,-0.04557738321362766,0.05472595339717003,0.14919063067217306,-0.1293300259101867
PC17,-0.01531282615185491,-0.0014846964084646412,-0.011523735398984844,-0.011706121800946427,-0.030108340319029047,0.017816166806378382,-0.018701718829031246,0.7987926468297664,0.06886477190042965,0.015800560952046013,0.027359263617974614,-0.037562893116259356,0.05176713238456482,0.0013749930035289587,-0.05680320188364549,0.022230073391002608,-0.4827118353259908,-0.001988751115489282,0.015976808757098025,0.015646528294731905,-0.06530676583962693,0.009054714936625683,0.006867485595988684,0.04765064543130451,0.02174521432117294,0.00023663011270641613,-0.02123545855350644,0.02643947036538532,-0.02490591032057594,-0.019656436948456882,-0.0012343801829187773,-0.2973808245741586,-0.021366801610774356,-0.013337267424973747,0.06317026553442753,0.01607392523366789,0.014310797462625155,-0.04686140377065971,-0.0824740478594655,0.031050631617699845
PC18,-0.16668674237327985,0.035253201396267975,-0.05917460708704053,-0.09803441868457036,-0.16181789667785676,0.20834477649915528,-0.0007786864438891536,-0.12631593771513033,0.35812946024458814,0.056498680461390366,0.06271650736266256,-0.09618092872355595,0.39988736823032145,-0.010788856573059844,-0.17080407659156324,0.028593293136916133,0.009697502435609554,-0.15436237357418695,-0.011969107497192061,0.04261249427934108,0.013784775369958247,0.09093874135777442,0.07871830635813906,0.05795913599382277,-0.022774319759042587,0.041034236222030146,0.0016761643523845926,0.12302436269010882,-0.13082223335150822,-0.10498416772115783,-0.00836156489601104,0.18658900628379663,-0.1462510236353978,-0.0683104868497838,0.4472635663896545,0.06278684157884995,0.11199908937773168,-0.21184603444191089,-0.35487011635608645,0.0020812520752577788
PC19,-0.2754982117194633,0.021218723836324657,0.05796031332132001,0.04641481504583956,-0.2730273576985099,-0.12452765688345564,-0.03332282945318001,0.03759494408698382,-0.23022865354537658,-0.012966141252207264,-0.20297930617425455,0.043051282235032115,-0.09837987633282148,-0.005504130196626295,0.123749597576808,0.011898921637478537,0.10173622964068729,0.09022952949322322,0.033438101775737396,-0.05449458091731714,0.002214384341246447,-0.07226740968830817,-0.03432444409695236,-0.25095096354102364,-0.32247877407148184,-0.029576601136948544,0.08124086837536115,0.0032738026241959763,0.10257720711786594,0.055333237969931316,-0.0012550088465091674,-0.16713601274470988,0.033054655399706506,-0.008418748076202848,0.6401458949760664,0.0014378876765785353,-0.041289036818873005,0.07984258989114039,0.1960620627817654,0.04169392936481027
PC20,0.05808195097165165,-0.08961651335992377,-0.13170940907739062,-0.21540935701314626,0.08268828359411491,-0.09039847745150538,0.05002170120879028,0.010962799508549073,-0.1750114752300069,-0.04879583325008995,-0.1278850283498522,0.1236252363427526,0.5139164842903485,0.0008032046587690676,0.2843467931899812,-0.05033828651906531,0.006371990873674867,-0.09551379413678628,0.02793091716314384,-0.04762007634282993,-0.013706837473336142,-0.13740187157845635,-0.0012069408171387092,-0.13844614516607037,-0.06231404731746932,-0.19799091965360527,0.08191151527232762,0.30792404387832584,0.11657423879188007,0.009610103632860351,0.03386282360719677,-0.05673674676648515,-0.07473616507578736,-0.32038031007544804,-0.1885629169135253,0.32593310698457606,0.1261792417960913,-0.015813414662999868,0.09860312541060923,0.07780265157637446
